company_name,category,website,email,all_emails,phone,address,linkedin,facebook,instagram,rating,review_count,company_size,hourly_rate,min_project,search_query,profile_url,source,engine,email_verified,scraped_at
FACTS ERP Software House L.L.C,Software company,https://facts.ae/?utm_source=CMBlisting&utm_medium=organic,info@facts.ae,info@facts.ae; hi@facts.ae,+971 55 899 3902,Mohd Malik & Sons Raffa Building - Office 201 - Khalid Bin Al Waleed Rd - Al Raffa - Dubai - United Arab Emirates,https://www.linkedin.com/company/facts-computer-software-house/,https://www.facebook.com/factsae,https://www.instagram.com/factserp/,4.6,103,50 - 249,$25 - $49 / hr,"$10,000+",software companies in Dubai,https://www.google.com/maps/place/FACTS+ERP+Software+House+L.L.C/data=!4m7!3m6!1s0x3e5f433e1f5f9b55:0x94a47bfdf9d201c6!8m2!3d25.2593792!4d55.2936515!16s%2Fg%2F1tj7zfs0!19sChIJVZtfHz5DXz4RxgHS-f17pJQ?authuser=0&hl=en&rclk=1,google_maps,normal_scraper,unknown,2026-07-13T17:31:12.311Z
ToXSL Technologies,Software company,https://toxsl.ae/,sales@toxsl.ae,sales@toxsl.ae,+971 54 200 7788,BUR DUBAI - R308 Building - near Burjuman Mall - Al Mankhool - Dubai - United Arab Emirates,https://www.linkedin.com/company/toxsl-technologies-dubai,https://www.facebook.com/ToXSL,https://www.instagram.com/toxsltech,4.5,81,,,,software companies in Dubai,https://www.google.com/maps/place/ToXSL+Technologies/data=!4m7!3m6!1s0x3e5f656cb983ee57:0xde57360ed678865f!8m2!3d25.2550691!4d55.3023902!16s%2Fg%2F11t6pm2brs!19sChIJV-6DuWxlXz4RX4Z41g42V94?authuser=0&hl=en&rclk=1,google_maps,normal_scraper,unknown,2026-07-13T17:31:12.311Z
Peniel Technology LLC,Software company,https://www.penieltech.com/,info@penieltech.com,info@penieltech.com,+971 50 961 7708,"Office 205, NBQ Bank Building - 16th St - Khalid Bin Al Waleed Rd - Bur Dubai - Dubai - United Arab Emirates",https://www.linkedin.com/company/penieltech/posts/,https://www.facebook.com/penieltech,,4.9,"1,202",,,,software companies in Dubai,https://www.google.com/maps/place/Peniel+Technology+LLC/data=!4m7!3m6!1s0x3e5f434bc5378621:0xf122ee3366790238!8m2!3d25.2565087!4d55.3016633!16s%2Fg%2F1wnd_jwg!19sChIJIYY3xUtDXz4ROAJ5ZjPuIvE?authuser=0&hl=en&rclk=1,google_maps,normal_scraper,unknown,2026-07-13T17:31:12.311Z
"Think Future Technologies | Software Development and Testing Company in Dubai, UAE",Software company,http://www.tftus.com/,info@tftus.com,info@tftus.com; john.doe@email.com,+971 52 559 6197,706 Emerald Mankhool 3 - Dubai - United Arab Emirates,https://www.linkedin.com/company/think-future-technologies,https://www.facebook.com/TFTUS/,https://www.instagram.com/tft_us/,5.0,4,,,,software companies in Dubai,"https://www.google.com/maps/place/Think+Future+Technologies+%7C+Software+Development+and+Testing+Company+in+Dubai,+UAE/data=!4m7!3m6!1s0x3e5f43474c32959d:0xa26537f2739cba36!8m2!3d25.2481365!4d55.286642!16s%2Fg%2F11fm_3f_8d!19sChIJnZUyTEdDXz4RNrqcc_I3ZaI?authuser=0&hl=en&rclk=1",google_maps,normal_scraper,unknown,2026-07-13T17:31:12.311Z
Chacra Software,Software company,https://www.chacrasoftware.com/,info@chacrasoftware.com,info@chacrasoftware.com,+971 50 471 4556,"Marina Plaza, Level 29 - Dubai Marina - Dubai - United Arab Emirates",https://www.linkedin.com/company/chacrasoftware,https://www.facebook.com/ChacraSoftware,https://www.instagram.com/chacrasoftware,5.0,18,,,,software companies in Dubai,https://www.google.com/maps/place/Chacra+Software/data=!4m7!3m6!1s0x3e5f6d26be671d73:0x4ac7c77f7fdb9be6!8m2!3d25.0753976!4d55.1398252!16s%2Fg%2F11p4bnt910!19sChIJcx1nviZtXz4R5pvbf3_Hx0o?authuser=0&hl=en&rclk=1,google_maps,normal_scraper,unknown,2026-07-13T17:31:12.311Z
Azinova Technologies LLC,Software company,http://www.azinovatechnologies.com/,contact@azinova.info,contact@azinova.info; contact@azinovatechnologies.com,+971 4 359 7000,"Office 107, SIT Tower - Nadd Hessa - Dubai Silicon Oasis - Dubai - United Arab Emirates",https://www.linkedin.com/company/azinova-technologies-pvt--ltd,https://www.facebook.com/AzinovaTechnologies,https://www.instagram.com/azinova/,4.4,30,,,,software companies in Dubai,https://www.google.com/maps/place/Azinova+Technologies+LLC/data=!4m7!3m6!1s0x3e5f69a2efd6f499:0xb351497628795f70!8m2!3d25.1177885!4d55.3906747!16s%2Fg%2F11b7r1klg1!19sChIJmfTW76JpXz4RcF95KHZJUbM?authuser=0&hl=en&rclk=1,google_maps,normal_scraper,unknown,2026-07-13T17:31:12.311Z
TechGropse Dubai Mobile App Development Company | Hire Mobile App Developers in UAE | IOS Android & Custom App Development,Software company,https://www.techgropse.ae/app-development-dubai,sales@techgropse.ae,sales@techgropse.ae,+971 52 798 4766,"Al Owais building - Office ""307 - Deira - Dubai - United Arab Emirates",https://www.linkedin.com/company/techgropse/,https://www.facebook.com/techgropse/,https://www.instagram.com/techgropse/,4.7,51,50 - 249,$25 - $49 / hr,"$25,000+",software companies in Dubai,https://www.google.com/maps/place/TechGropse+Dubai+Mobile+App+Development+Company+%7C+Hire+Mobile+App+Developers+in+UAE+%7C+IOS+Android+%26+Custom+App+Development/data=!4m7!3m6!1s0x3e5f5d8eda9b2713:0xb2551ec45e67f65d!8m2!3d25.2598447!4d55.3363583!16s%2Fg%2F11rnhvd167!19sChIJEyeb2o5dXz4RXfZnXsQeVbI?authuser=0&hl=en&rclk=1,google_maps,normal_scraper,unknown,2026-07-13T17:31:12.311Z
"DXB APPS (DX Technologies LLC) | No 1 App Development Company in Dubai UAE | Hire Android, iOS & WEB Developers in Dubai, UAE",Software company,https://dxbapps.com/,info@dxbapps.com,info@dxbapps.com; +971505041860,+971 50 504 1860,"ETA Star, Al Manara Tower - 812 Marasi Dr - Business Bay - Dubai - United Arab Emirates",https://www.linkedin.com/company/dxb-apps/,https://www.facebook.com/dxbapps,https://www.instagram.com/dxb.apps/,4.6,56,,,,software companies in Dubai,"https://www.google.com/maps/place/DXB+APPS+%28DX+Technologies+LLC%29+%7C+No+1+App+Development+Company+in+Dubai+UAE+%7C+Hire+Android,+iOS+%26+WEB+Developers+in+Dubai,+UAE/data=!4m7!3m6!1s0x3e5f69dae374ad7b:0xe23198783834762!8m2!3d25.1842651!4d55.2596548!16s%2Fg%2F11hgdl52s5!19sChIJe61049ppXz4RYkeDg4cZIw4?authuser=0&hl=en&rclk=1",google_maps,normal_scraper,unknown,2026-07-13T17:31:12.311Z
TrueBays IT Software Trading LLC,Software company,https://www.truebays.com/?utm_source=google&utm_medium=GMB&utm_campaign=GMBTRACKING,info@truebays.com,info@truebays.com,+971 56 383 8329,Office 111B Ibn Battuta Gate Offices - Sheikh Zayed Rd - Jebel Ali Village - Dubai - United Arab Emirates,https://www.linkedin.com/company/truebays-it-software-trading-llc,https://www.facebook.com/truebayssoutions/,https://www.instagram.com/truebays2017/,4.7,82,,,,software companies in Dubai,https://www.google.com/maps/place/TrueBays+IT+Software+Trading+LLC/data=!4m7!3m6!1s0x3e5f435abb3b86ad:0xba9366dbb415d088!8m2!3d25.0410191!4d55.1167619!16s%2Fg%2F11fjz265d6!19sChIJrYY7u1pDXz4RiNAVtNtmk7o?authuser=0&hl=en&rclk=1,google_maps,normal_scraper,unknown,2026-07-13T17:31:12.311Z
Brainsphere,Software company,https://www.brainspherei.com/,,,+971 4 352 9915,"Office 202, Mohd Malik & Sons Raffa Building - Khalid Bin Al Waleed Rd - Dubai - United Arab Emirates",,,,4.6,63,,,,software companies in Dubai,https://www.google.com/maps/place/Brainsphere/data=!4m7!3m6!1s0x3e5f433e6cd381ab:0xd2f6c7113170a267!8m2!3d25.2594548!4d55.2936254!16s%2Fg%2F11f_3s_gk8!19sChIJq4HTbD5DXz4RZ6JwMRHH9tI?authuser=0&hl=en&rclk=1,google_maps,normal_scraper,,2026-07-13T17:31:12.311Z
