company_name,category,website,email,all_emails,phone,address,linkedin,facebook,instagram,rating,review_count,company_size,hourly_rate,min_project,search_query,profile_url,source,engine,email_verified,score,tier,scraped_at
"Brain Station 23 (BDO-01) | Software Development Company,Custom Software, HR-ERP, AI & ML,eCommerce, AEM,Cyber Security & etc",Software company,http://www.brainstation-23.com/,sales@brainstation-23.com,sales@brainstation-23.com,+880 9610-902323,"12th Floor, Advanced Noorani Tower, 1 Mohakhali C/A, Dhaka 1212, Bangladesh",https://www.linkedin.com/company/brain-station-23,https://www.facebook.com/brainstation23,,4.6,589,250 - 999,$25 - $49 / hr,"$10,000+",software companies in Dhaka,"https://www.google.com/maps/place/Brain+Station+23+%28BDO-01%29+%7C+Software+Development+Company,Custom+Software,+HR-ERP,+AI+%26+ML,eCommerce,+AEM,Cyber+Security+%26+etc/data=!4m7!3m6!1s0x3755c769c6633a2f:0xbb3979a7e02a8c90!8m2!3d23.7811437!4d90.3995801!16s%2Fg%2F1xcbm_3k!19sChIJLzpjxmnHVTcRkIwq4Kd5Obs?authuser=0&hl=en&rclk=1",google_maps,normal_scraper,alive,92,A,2026-08-01T20:57:56.848Z
Capital Numbers,software developer,https://www.capitalnumbers.com/custom-software-development.php,info@capitalnumbers.com,info@capitalnumbers.com,,"Kolkata, India",https://www.linkedin.com/company/capitalnumbers/,https://www.facebook.com/CapitalNumbers,,4.8,236,250 - 999,$25 - $49 / hr,"$5,000+",in/developers,https://clutch.co/profile/capital-numbers,clutch,cloak_browser,alive,92,A,2026-08-01T21:35:32.012Z
Acquaint Softtech Private Limited,software developer,https://acquaintsoft.com,sales@acquaintsoft.com,sales@acquaintsoft.com; career@acquaintsoft.com,,"Ahmedabad, India",https://www.linkedin.com/company/acquaintsofttech,https://www.facebook.com/acquaintsoft/,https://www.instagram.com/acquaintsofttech/,4.8,63,50 - 249,$25 - $49 / hr,"$5,000+",in/developers,https://clutch.co/profile/acquaint-softtech-private,clutch,cloak_browser,alive,92,A,2026-08-01T21:35:32.012Z
PlutoSec Cybersecurity,software developer,https://plutosec.ca,contact@plutosec.ca,contact@plutosec.ca; jane@company.com,,"Toronto, Canada",https://www.linkedin.com/company/pluto-security-ltd/,https://www.facebook.com/PlutoSec.ca,https://www.instagram.com/PlutoSec.ca/,5.0,78,50 - 249,$100 - $149 / hr,"$1,000+",ca/it-services,https://clutch.co/profile/plutosec-cybersecurity,clutch,cloak_browser,alive,92,A,2026-08-01T21:44:28.335Z
FACTS ERP Software House L.L.C,Software company,https://facts.ae/?utm_source=CMBlisting&utm_medium=organic,info@facts.ae,info@facts.ae; hi@facts.ae,+971 55 899 3902,Mohd Malik & Sons Raffa Building - Office 201 - Khalid Bin Al Waleed Rd - Al Raffa - Dubai - United Arab Emirates,https://www.linkedin.com/company/facts-computer-software-house/,https://www.facebook.com/factsae,https://www.instagram.com/factserp/,4.6,103,50 - 249,$25 - $49 / hr,"$10,000+",software companies in Dubai,https://www.google.com/maps/place/FACTS+ERP+Software+House+L.L.C/data=!4m7!3m6!1s0x3e5f433e1f5f9b55:0x94a47bfdf9d201c6!8m2!3d25.2593792!4d55.2936515!16s%2Fg%2F1tj7zfs0!19sChIJVZtfHz5DXz4RxgHS-f17pJQ?authuser=0&hl=en&rclk=1,google_maps,normal_scraper,alive,91,A,2026-08-01T20:10:45.907Z
MOBIKASA,software developer,https://www.mobikasa.com/,info@mobikasa.com,info@mobikasa.com; mk@mobikasa.com,,"New Delhi, India",https://www.linkedin.com/company/mobikasa,https://www.facebook.com/mobikasamobile/,https://www.instagram.com/mobikasa__/,4.8,125,50 - 249,$25 - $49 / hr,"$5,000+",in/developers,https://clutch.co/profile/mobikasa,clutch,cloak_browser,alive,91,A,2026-08-01T21:35:32.012Z
molfar.io,software developer,https://www.molfar.io/,smoothie@molfar.io,smoothie@molfar.io; example@mail.com,,"Frankfurt am Main, Germany",https://www.linkedin.com/in/sergey-pirogov/,https://www.facebook.com/www.molfar.io,https://www.instagram.com/molfar.io.dev/,5.0,106,10 - 49,$50 - $99 / hr,"$5,000+",de/it-services,https://clutch.co/profile/molfario-0,clutch,cloak_browser,alive,91,A,2026-08-01T21:43:28.486Z
Win-Pro Consultancy Pte Ltd,Computer support and services,https://www.winpro.com.sg/,salesenq@winpro.com.sg,salesenq@winpro.com.sg,+65 6100 2100,"38 Jln Pemimpin, #07-04, M38, Singapore 577178",https://www.linkedin.com/company/win-pro-consultancy-pte-ltd/,https://www.facebook.com/it.support.services.company/,https://www.instagram.com/winprosgp/,4.9,258,10 - 49,$50 - $99 / hr,"$1,000+",IT companies in Singapore,https://www.google.com/maps/place/Win-Pro+Consultancy+Pte+Ltd/data=!4m7!3m6!1s0x31da1bd1407482b5:0x3040ba310cc5eee4!8m2!3d1.3483408!4d103.8416915!16s%2Fg%2F1th7kf8m!19sChIJtYJ0QNEb2jER5O7FDDG6QDA?authuser=0&hl=en&rclk=1,google_maps,normal_scraper,alive,90,A,2026-08-01T20:46:30.455Z
Riseup Labs,Software company,https://www.riseuplabs.com/,contact@riseuplabs.com,contact@riseuplabs.com,+880 1759-747387,"Floor- 3, Natore Tower, D/E Road-3, Dhaka 1230, Bangladesh",https://www.linkedin.com/in/ershadul-hoque/,https://www.facebook.com/riseuplabs,https://www.instagram.com/riseuplabs/,4.7,499,251 to 1000,Up to $25,Less than - $5000,tech startups in Dhaka,https://www.google.com/maps/place/Riseup+Labs/data=!4m7!3m6!1s0x3755c4241b52d99d:0xdf7009a05d863ce5!8m2!3d23.8639548!4d90.3990821!16s%2Fg%2F11b6j7840l!19sChIJndlSGyTEVTcR5TyGXaAJcN8?authuser=0&hl=en&rclk=1,google_maps,normal_scraper,alive,90,A,2026-08-01T20:57:18.329Z
Trigent Software - AI Development,software developer,https://trigent.com/,sales@trigent.com,sales@trigent.com,,"Bengaluru, India",https://www.linkedin.com/company/trigent-software/,https://www.facebook.com/TrigentSoftware/,,4.8,56,"1,000 - 9,999",$25 - $49 / hr,"$10,000+",in/developers,https://clutch.co/profile/trigent-software-ai-development,clutch,cloak_browser,alive,90,A,2026-08-01T21:35:32.012Z
Perpetual,software developer,https://www.perpetualny.com/capabilities/technology-and-software,info@perpetualny.com,info@perpetualny.com,,"New York, NY",https://www.linkedin.com/company/perpetual/,https://www.facebook.com/perpetualny/,https://www.instagram.com/perpetual.ny/,4.9,96,50 - 249,$100 - $149 / hr,"$25,000+",us/developers,https://clutch.co/profile/perpetual,clutch,cloak_browser,alive,90,A,2026-08-01T21:45:58.814Z
