company_name,category,website,email,all_emails,contact_name,contact_title,phone,address,linkedin,facebook,instagram,rating,review_count,company_size,hourly_rate,min_project,search_query,profile_url,source,engine,email_verified,score,tier,scraped_at,first_seen_at,last_seen_at,industry,tags,sub_industries,employee_count,firm_size_band,is_enterprise,tag_confidence,tag_source,region
Casa Dental (Holland),dentist,https://www.casadental.com.sg/,casadental.management@gmail.com,casadental.management@gmail.com; casadental.admiralty@gmail.com; casadental.amk@gmail.com,Dr. Chan Kwun Chung,Co-Founder,+6568730451,"45, Holland Drive, Singapore, 270045",https://www.linkedin.com/company/casa-dental-singapore,https://www.facebook.com/sg.casadental,https://www.instagram.com/casa.dental,4.9,,,,,healthcare/Singapore,https://www.openstreetmap.org/node/7886889012,openstreetmap,normal_scraper,unknown,61,B,2026-08-25T19:35:03.063Z,2026-08-19T23:15:37.635+00:00,2026-08-19T23:15:37.635+00:00,healthcare,healthcare,,,,false,0.95,rules,southeast-asia
Goro Japanese Cuisine,restaurant,http://bit.ly/GoroNewMenu,dsc@pucit.edu.pk,dsc@pucit.edu.pk,,,+6563583959,"43, Holland Drive, Singapore, 270043",https://www.linkedin.com/company/552285,https://facebook.com/bitly,https://instagram.com/bitly,4.9,,,,,general/Singapore,https://www.openstreetmap.org/node/7249170185,openstreetmap,normal_scraper,unknown,54,C,2026-08-25T19:46:59.113Z,2026-08-10T00:21:12.154+00:00,2026-08-25T07:39:13.888+00:00,hospitality-retail,hospitality-retail,,,,false,0.7,rules,southeast-asia
Monies Coffee,cafe,https://century21uk.com/putney,info@century21uk.com,info@century21uk.com,,,+44 20 8870 5665,"140, Upper Richmond Road, London, SW15 2SW",https://www.linkedin.com/company/century21-united-kingdom/,https://www.facebook.com/C21uk,https://www.instagram.com/century21_uk/,4.6,,,,,general/London,https://www.openstreetmap.org/way/1010368007,openstreetmap,normal_scraper,unknown,51,C,2026-08-25T19:43:31.181Z,2026-08-19T23:15:37.635+00:00,2026-08-19T23:15:37.635+00:00,hospitality-retail,hospitality-retail,,,,false,0.8999999999999999,rules,europe
Akoko,restaurant,https://akoko.co.uk/,info@akoko.co.uk,info@akoko.co.uk; akoko@crabcommunications.com,,,+44 20 7323 0593,"21, Berners Street, London, W1T 3LP",,https://facebook.com/AkokoRestaurant,https://www.instagram.com/akokorestaurant/,4.8,,,,,general/London,https://www.openstreetmap.org/node/691728906,openstreetmap,normal_scraper,unknown,49,C,2026-08-25T19:43:31.181Z,2026-08-19T23:15:37.635+00:00,2026-08-19T23:15:37.635+00:00,hospitality-retail,hospitality-retail,,,,false,0.7,rules,europe
Ekstedt at The Yard,restaurant,https://www.ekstedtattheyard.com/,enquiries.ekstedt@greatscotlandyard.com,enquiries.ekstedt@greatscotlandyard.com; talent@greatscotlandyard.com,,,+44 20 7925 4749,"3-5, Great Scotland Yard, London, SW1A 2HN",,https://www.facebook.com/gsylondon,https://www.instagram.com/ekstedtldn,4.8,,,,,general/London,https://www.openstreetmap.org/node/12241232962,openstreetmap,normal_scraper,unknown,49,C,2026-08-25T19:43:31.181Z,2026-08-19T23:15:37.635+00:00,2026-08-19T23:15:37.635+00:00,hospitality-retail,hospitality-retail,,,,false,0.7,rules,europe
Smilepoint,dentist,https://www.smilepoint.com.sg/,info@smilepoint.com.sg,info@smilepoint.com.sg; mbc@smilepoint.com.sg,,,+65 6475 1028,"43, Jalan Merah Saga, Singapore, 278115",,,,4.7,,,,,healthcare/Singapore,https://www.openstreetmap.org/node/3830449689,openstreetmap,normal_scraper,unknown,48,C,2026-08-25T19:35:03.063Z,2026-08-19T23:15:37.635+00:00,2026-08-19T23:15:37.635+00:00,healthcare,healthcare,,,,false,0.8999999999999999,rules,southeast-asia
Speedboat Bar,restaurant,https://speedboatbar.co.uk/,info@speedboatbar.co.uk,info@speedboatbar.co.uk; speedboatbar@sohohouse.com,,,,"30, Rupert Street, London, W1D 6DL",https://www.linkedin.com/company/speedboat-bar,https://www.facebook.com/Speedboat-Bar-105221982280865,https://www.instagram.com/speedboatbar/,4.7,,,,,general/London,https://www.openstreetmap.org/node/4865627308,openstreetmap,normal_scraper,unknown,48,C,2026-08-25T19:43:31.181Z,2026-08-19T23:15:37.635+00:00,2026-08-19T23:15:37.635+00:00,hospitality-retail,hospitality-retail,,,,false,0.7,rules,europe
Farrer Park Hospital,hospital,https://www.farrerpark.com/hospital/,enquiries@farrerpark.com,enquiries@farrerpark.com,,,+65 6363 1818,"1, Farrer Park Station Road, Singapore, 217562",https://www.linkedin.com/company/farrerparkhospital/,https://www.facebook.com/farrerparkhospital,https://www.instagram.com/farrerparkhospital/,4.2,,,,,healthcare/Singapore,https://www.openstreetmap.org/node/6746490215,openstreetmap,normal_scraper,unknown,47,C,2026-08-25T19:35:03.063Z,2026-08-19T23:15:37.635+00:00,2026-08-19T23:15:37.635+00:00,healthcare,healthcare,,,,false,0.8999999999999999,rules,southeast-asia
Honeymoon Dessert 满记甜品,cafe,https://www.instagram.com/honeymoondessert_uk/,naik.rpsn@gmail.com,naik.rpsn@gmail.com,,,+923338749465,"33, Shaftesbury Avenue, London, W1D 7EH",,https://www.facebook.com/LaurelMedicalServices/,,4.8,,,,,general/London,https://www.openstreetmap.org/node/624064568,openstreetmap,normal_scraper,unknown,47,C,2026-08-25T19:43:31.181Z,2026-08-10T00:21:12.154+00:00,2026-08-21T21:33:38.141+00:00,hospitality-retail,hospitality-retail,,,,false,0.7,rules,europe
Fallow,restaurant,https://fallowrestaurant.com/,info@fallowrestaurant.com,info@fallowrestaurant.com,,,+44 20 8017 1788,"52, Haymarket, London, SW1Y 4RP",,https://www.facebook.com/fallowrestaurant/,https://www.instagram.com/fallowrestaurant/,4.7,,,,,general/London,https://www.openstreetmap.org/node/11049433805,openstreetmap,normal_scraper,unknown,47,C,2026-08-25T19:43:31.181Z,2026-08-19T23:15:37.635+00:00,2026-08-19T23:15:37.635+00:00,hospitality-retail,hospitality-retail,,,,false,0.7,rules,europe
Oma,restaurant,https://www.oma.london/,hello@oma.london,hello@oma.london,,,+44 20 8129 6760,"2-4, Bedale Street, London, SE1 9AL",,,https://instagram.com/oma.london,4.7,,,,,general/London,https://www.openstreetmap.org/node/12477919501,openstreetmap,normal_scraper,unknown,47,C,2026-08-25T19:43:31.181Z,2026-08-19T23:15:37.635+00:00,2026-08-19T23:15:37.635+00:00,hospitality-retail,hospitality-retail,,,,false,0.7,rules,europe
Sassis in The Grove,cafe,https://www.facebook.com/Sassisinthegrove/,shayanhussain48@gmail.com,shayanhussain48@gmail.com,,,04237175637,"37a, High St,, Carshalton, SM5 3BB",,,,4.9,,,,,general/London,https://www.openstreetmap.org/node/253369107,openstreetmap,normal_scraper,unknown,46,C,2026-08-25T19:43:31.181Z,2026-08-10T00:21:12.154+00:00,2026-08-25T07:39:13.888+00:00,hospitality-retail,hospitality-retail,,,,false,0.7,rules,europe
Tax Agility,accountant,https://www.taxagility.com/,info@xeinadin.com,info@xeinadin.com; donovan.crutchfield@xeinadin.com; michael.amos@xeinadin.com,Donovan Crutchfield,Area Managing Partner,+44 20 8940 3990,"Eton Street, Richmond, TW9 1EE",https://www.linkedin.com/in/donovan-crutchfield-22550814/,https://www.facebook.com/xeinadin/,,,,,,,general/London,https://www.openstreetmap.org/node/4318316034,openstreetmap,normal_scraper,unknown,46,C,2026-08-25T19:43:31.181Z,2026-08-19T23:15:37.635+00:00,2026-08-19T23:15:37.635+00:00,professional-services,professional-services,,,,false,0.8999999999999999,rules,europe
The Barbary,restaurant,https://www.thebarbary.co.uk/,hello@thebarbary.co.uk,hello@thebarbary.co.uk,,,+44 20 7870 5659,"16, Neal's Yard, London, WC2H 9DP",,,,4.7,,,,,general/London,https://www.openstreetmap.org/node/4348379097,openstreetmap,normal_scraper,unknown,46,C,2026-08-25T19:43:31.181Z,2026-08-19T23:15:37.635+00:00,2026-08-19T23:15:37.635+00:00,hospitality-retail,hospitality-retail,,,,false,0.7,rules,europe
Sabor,restaurant,https://www.saborrestaurants.co.uk/,info@saborrestaurants.co.uk,info@saborrestaurants.co.uk; events@saborrestaurants.co.uk; nieves@lotuslandagency.com,,,+44 20 3319 8130,"35-37, Heddon Street, London, W1B 4BR",,https://www.facebook.com/saborldn/,https://www.instagram.com/sabor_ldn/,4.6,,,,,general/London,https://www.openstreetmap.org/node/5658200133,openstreetmap,normal_scraper,unknown,46,C,2026-08-25T19:43:31.181Z,2026-08-19T23:15:37.635+00:00,2026-08-19T23:15:37.635+00:00,hospitality-retail,hospitality-retail,,,,false,0.7,rules,europe
Noble Rot Mayfair,restaurant,https://noblerot.co.uk/,lambsconduit@noblerot.co.uk,lambsconduit@noblerot.co.uk; soho@noblerot.co.uk; mayfair@noblerot.co.uk,,,+44 20 7101 6770,"5, Trebeck Street, London, W1J 7LT",,noblerotmag,https://instagram.com/noblerotmag,4.6,,,,,general/London,https://www.openstreetmap.org/node/5943700601,openstreetmap,normal_scraper,unknown,46,C,2026-08-25T19:43:31.181Z,2026-08-19T23:15:37.635+00:00,2026-08-19T23:15:37.635+00:00,hospitality-retail,hospitality-retail,,,,false,0.7,rules,europe
DH Payroll,accountant,https://www.dhpayroll.co.uk/,payroll@davidhoward.co.uk,payroll@davidhoward.co.uk; dhpayroll@davidhoward.co.uk,Harris Jones Recruitment,Managing Director,+44 20 8977 3559,"1, Park Road, Kingston upon Thames, KT1 4AS",https://www.linkedin.com/company/dhpayroll/,https://www.facebook.com/dhpayroll,,,,,,,general/London,https://www.openstreetmap.org/node/8086025140,openstreetmap,normal_scraper,unknown,46,C,2026-08-25T19:43:31.181Z,2026-08-19T23:15:37.635+00:00,2026-08-19T23:15:37.635+00:00,professional-services,professional-services,,,,false,0.7,rules,europe
Baron Grey,lawyer,https://www.barongrey.co.uk/,jordan@barongrey.co.uk,jordan@barongrey.co.uk; peter@barongrey.co.uk; james@barongrey.co.uk,Vincent Hambleton-Grey,Principal,+44 20 8891 4044,"441, Richmond Road, Twickenham, TW1 2EF",https://www.linkedin.com/company/baron-grey/,https://www.facebook.com/barongreysolicitors,,,,,,,general/London,https://www.openstreetmap.org/node/10210272837,openstreetmap,normal_scraper,unknown,46,C,2026-08-25T19:43:31.181Z,2026-08-19T23:15:37.635+00:00,2026-08-19T23:15:37.635+00:00,professional-services,professional-services,,,,false,0.7,rules,europe
Suzette,cafe,https://sites.google.com/suzettelondon.co.uk/suzette-london/home,mam.acpc.community@gmail.com,mam.acpc.community@gmail.com,,,03042795250,"43, Bond Street",,,,4.9,,,,,general/London,https://www.openstreetmap.org/node/13607874637,openstreetmap,normal_scraper,unknown,46,C,2026-08-25T19:43:31.181Z,2026-08-10T00:21:12.154+00:00,2026-08-25T07:39:13.888+00:00,hospitality-retail,hospitality-retail,,,,false,0.7,rules,europe
St. John,restaurant,https://stjohnrestaurant.com/,info@stjohnrestaurant.com,info@stjohnrestaurant.com; reservations@stjohnrestaurant.com,,,+44 20 3301 8069,"26, St. John Street, London, EC1M 4AY",,https://www.facebook.com/StJOHNRestaurant/,https://www.instagram.com/st.john.restaurant/,4.5,,,,,general/London,https://www.openstreetmap.org/way/97175538,openstreetmap,normal_scraper,unknown,46,C,2026-08-25T19:43:31.181Z,2026-08-19T23:15:37.635+00:00,2026-08-19T23:15:37.635+00:00,hospitality-retail,hospitality-retail,,,,false,0.7,rules,europe
Block Solutions Ltd,it,https://www.block.co.uk,hello@block.co.uk,hello@block.co.uk; sales@block.co.uk,,,+44 844 967 1646,"14, Shepherdess Walk, London, N1 7LB",https://www.linkedin.com/company/block-solutions/,,,,,,,,tech/London,https://www.openstreetmap.org/node/5316376172,openstreetmap,normal_scraper,unknown,45,C,2026-08-25T19:25:36.323Z,2026-08-19T23:15:37.635+00:00,2026-08-19T23:15:37.635+00:00,data-analytics-bi,data-analytics-bi; web-development; digital-marketing; healthcare,web-development; digital-marketing; healthcare,,,false,0.4,web,europe
Expert Digital Marketing Ltd,it,https://edm-uk.com/,jane@yourcompany.com,jane@yourcompany.com; audits@edm-uk.com,Graham O'Shea,Founder and Lead Developer,+44 208 050 0701,"10-16, Tiller Road, London, E14 8PX",https://www.linkedin.com/company/expert-digital-marketing-ltd,,,,,,,,tech/London,https://www.openstreetmap.org/node/14075133472,openstreetmap,normal_scraper,unknown,45,C,2026-08-25T19:25:36.323Z,2026-08-19T23:15:37.635+00:00,2026-08-19T23:15:37.635+00:00,digital-marketing,digital-marketing,,,,false,0.7,rules,europe
Astute Accountants & Tax Consultants,accountant,https://www.astuteaccountants.co.uk/,faisal@astuteaccountants.co.uk,faisal@astuteaccountants.co.uk; raheel@astuteaccountants.co.uk; info@astuteaccountants.co.uk,Faisal Meraj,Co-founder · Partner,+44 20 8539 8400,"565, High Road Leytonstone, London, E11 4PB",https://www.linkedin.com/in/faisal-meraj-b0908220/,,,,,,,,general/London,https://www.openstreetmap.org/way/507095516,openstreetmap,normal_scraper,unknown,45,C,2026-08-25T19:43:31.181Z,2026-08-19T23:15:37.635+00:00,2026-08-19T23:15:37.635+00:00,professional-services,professional-services,,,,false,0.8999999999999999,rules,europe
Mac Ansys Limited,computer,https://www.macansys.co.uk/,info@macansys.co.uk,info@macansys.co.uk,,,+44 20 7359 4126,"121, Essex Road, London, N1 2SN",https://uk.linkedin.com/company/macansys,https://www.facebook.com/macansys/,https://www.instagram.com/macansys/,,,,,,tech/London,https://www.openstreetmap.org/node/501768041,openstreetmap,normal_scraper,unknown,44,C,2026-08-25T19:25:36.323Z,2026-08-19T23:15:37.635+00:00,2026-08-19T23:15:37.635+00:00,web-development,web-development; data-analytics-bi; ecommerce; hospitality-retail,data-analytics-bi; ecommerce; hospitality-retail,,,false,0.6,web,europe
Blu-Gates,computer,https://www.blu-gates.co.uk/,info@blu-gates.co.uk,info@blu-gates.co.uk,,,+44 1895 349642,"13, High Street, West Drayton, UB7 7QG",https://uk.linkedin.com/company/blu-gates,https://www.facebook.com/blu.gates.co.uk/,,,,,,,tech/London,https://www.openstreetmap.org/node/3259057406,openstreetmap,normal_scraper,unknown,44,C,2026-08-25T19:25:36.323Z,2026-08-19T23:15:37.635+00:00,2026-08-19T23:15:37.635+00:00,data-analytics-bi,data-analytics-bi,,,,false,0.45,web,europe
Durable Digital,it,https://durabledigital.com/,peter.gassiraro@durabledigital.com,peter.gassiraro@durabledigital.com,,,+44 20 7247 5793,"231,232, Strand, London, WC2R 1DA",https://uk.linkedin.com/company/durabledigital,https://facebook.com/durabledigital,https://www.instagram.com/durabledigital/,,,,,,tech/London,https://www.openstreetmap.org/node/8005837159,openstreetmap,normal_scraper,unknown,44,C,2026-08-25T19:25:36.323Z,2026-08-19T23:15:37.635+00:00,2026-08-19T23:15:37.635+00:00,data-analytics-bi,data-analytics-bi,,,,false,0.55,web,europe
Avita Tech Ltd,it,https://avitagroup.co.uk/,sales@avitagroup.co.uk,sales@avitagroup.co.uk,,,+44 208 663 0077,"1, Clock House Road, Beckenham, BR3 4JS",https://linkedin.com/company/avita-tech,https://www.facebook.com/avitatech/,https://www.instagram.com/avitatechltd/,,,,,,tech/London,https://www.openstreetmap.org/node/13974262107,openstreetmap,normal_scraper,unknown,44,C,2026-08-25T19:25:36.323Z,2026-08-19T23:15:37.635+00:00,2026-08-19T23:15:37.635+00:00,cloud-devops,cloud-devops,,,,false,0.45,web,europe
Information Technology,it,https://comcen.nus.edu.sg/,ccequery@nus.edu.sg,ccequery@nus.edu.sg,,,+65 6516 2080,"2, Engineering Drive 4, Singapore, 117584",https://www.linkedin.com/company/nusit/,,https://www.instagram.com/nus_it/,,,,,,tech/Singapore,https://www.openstreetmap.org/way/54583488,openstreetmap,normal_scraper,unknown,44,C,2026-08-25T19:26:18.302Z,2026-08-19T23:15:37.635+00:00,2026-08-19T23:15:37.635+00:00,web-development,web-development; cloud-devops; cybersecurity,cloud-devops; cybersecurity,,,false,0.4,web,southeast-asia
Coya,restaurant,https://www.coyarestaurant.com/london-angel-court/,reservations@coyarestaurant.com,reservations@coyarestaurant.com,,,+966 9200 10352,"31-33, Throgmorton Street, London, EC2N 2AT",,,https://instagram.com/coyacity,4.6,,,,,general/London,https://www.openstreetmap.org/node/5686077722,openstreetmap,normal_scraper,unknown,44,C,2026-08-25T19:43:31.181Z,2026-08-19T23:15:37.635+00:00,2026-08-19T23:15:37.635+00:00,hospitality-retail,hospitality-retail,,,,false,0.7,rules,europe
GoForma,accountant,https://www.goforma.com,info@goforma.com,info@goforma.com,Jordan Macey,Head of Accounting · MAAT,+44 20 3389 7010,"40, Bowling Green Lane, London, EC1R 0NE",https://www.linkedin.com/company/goforma-accounting-virtual-office,https://www.facebook.com/GoFormaCo,https://www.instagram.com/goformaco/,,,,,,general/London,https://www.openstreetmap.org/node/13473545305,openstreetmap,normal_scraper,unknown,44,C,2026-08-25T19:43:31.181Z,2026-08-19T23:15:37.635+00:00,2026-08-19T23:15:37.635+00:00,professional-services,professional-services,,,,false,0.7,rules,europe
Drake Law Family Lawyers,lawyer,https://www.drakelaw.ca,info@drakelaw.ca,info@drakelaw.ca,John C. Drake,PRESIDENT & SENIOR COUNSEL,+1 548-866-9997,"256, Pall Mall Street, London, N6A 5P6",https://www.linkedin.com/company/drake-law,https://www.facebook.com/drakelawgroup1,https://www.instagram.com/drakelaw.ca,,,,,,general/London,https://www.openstreetmap.org/node/13653398695,openstreetmap,normal_scraper,unknown,44,C,2026-08-25T19:43:31.181Z,2026-08-19T23:15:37.635+00:00,2026-08-19T23:15:37.635+00:00,professional-services,professional-services,,,,false,0.7,rules,europe
Wellaholic (Somerset),beauty,https://wellaholic.com,wellaholic@outlook.com,wellaholic@outlook.com,Serene Chiam,Aesthetic Director,+65 88561338,"5, Koek Road #03-21, Singapore, 228796",https://sg.linkedin.com/company/wellaholic,https://www.facebook.com/teamwellaholic,https://www.instagram.com/wellaholicsg,,,,,,general/Singapore,https://www.openstreetmap.org/node/9572155016,openstreetmap,normal_scraper,unknown,44,C,2026-08-25T19:46:59.113Z,2026-08-19T23:15:37.635+00:00,2026-08-19T23:15:37.635+00:00,beauty-wellness,beauty-wellness,,,,false,0.7,rules,southeast-asia
Sushi Salsa,restaurant,https://www.sushisalsacamden.co.uk/,info@sushisalsacamden.co.uk,info@sushisalsacamden.co.uk,Julian Harris,Founding Gambling Regulatory Advisor,+44 20 7482 7088,"3A Camden Wharf, Jamestown Road, London, NW1 7BY",https://www.linkedin.com/in/julian-harris-392388/,,,,,,,,general/London,https://www.openstreetmap.org/node/4488591250,openstreetmap,normal_scraper,unknown,43,C,2026-08-25T19:43:31.181Z,,,hospitality-retail,hospitality-retail,,,,false,0.7,rules,europe
Francis Wilks & Jones,lawyer,https://www.franciswilksandjones.co.uk/,info@fwj.co.uk,info@fwj.co.uk,Andy Wilks,Managing Partner,+44 20 7841 0390,"6, Coldbath Square, London, EC1R 5HL",https://www.linkedin.com/company/francis-wilks-and-jones-llp,,,,,,,,general/London,https://www.openstreetmap.org/node/10101082400,openstreetmap,normal_scraper,unknown,43,C,2026-08-25T19:43:31.181Z,2026-08-19T23:15:37.635+00:00,2026-08-19T23:15:37.635+00:00,professional-services,professional-services,,,,false,0.7,rules,europe
Parkway Cancer Centre,clinic,https://www.parkwaycancercentre.com,enquiry@pcc.sg,enquiry@pcc.sg; clickr.parkwaycancercentre@gmail.com,,,+65 6737 0733,"3 Mount Elizabeth, Mount Elizabeth Hospital Level 2, 228510",https://www.linkedin.com/company/parkway-cancer-centre,https://www.facebook.com/ParkwayCancerCentre,https://www.instagram.com/parkwaycancercentre_pcc,,,,,,healthcare/Singapore,https://www.openstreetmap.org/node/6542055685,openstreetmap,normal_scraper,unknown,41,C,2026-08-25T19:35:03.063Z,2026-08-19T23:15:37.635+00:00,2026-08-19T23:15:37.635+00:00,healthcare,healthcare,,,,false,0.8999999999999999,rules,southeast-asia
Bethesda Medical,clinic,https://www.bethesdamedical.com.sg/,info@bethesda.com.sg,info@bethesda.com.sg; grantral@bethesda.com.sg,,,+65 69046678,"601, MacPherson Road, Singapore, 368242",https://www.linkedin.com/company/bethesda-medical/,https://www.facebook.com/BethesdaMedicalCentreSingapore/,https://www.instagram.com/bethesdamedical/,,,,,,healthcare/Singapore,https://www.openstreetmap.org/node/10808393886,openstreetmap,normal_scraper,unknown,41,C,2026-08-25T19:35:03.063Z,2026-08-19T23:15:37.635+00:00,2026-08-19T23:15:37.635+00:00,healthcare,healthcare,,,,false,0.95,rules,southeast-asia
Beecroft Animal Specialist & Emergency Clinic,veterinary,https://beecroft.com.sg,info@beecroft.com.sg,info@beecroft.com.sg; career@beecroft.com.sg; feedback@beecroft.com.sg,,,+65 6996 1812,"991E, Alexandra Road, Singapore, 119973",https://www.linkedin.com/company/beecroftsg/,https://www.facebook.com/beecroftsgvet,https://www.instagram.com/beecroftsgvet/,,,,,,healthcare/Singapore,https://www.openstreetmap.org/node/12348356530,openstreetmap,normal_scraper,unknown,41,C,2026-08-25T19:35:03.063Z,2026-08-19T23:15:37.635+00:00,2026-08-19T23:15:37.635+00:00,healthcare,healthcare,,,,false,0.95,rules,southeast-asia
Spaghetti House,restaurant,https://www.spaghettihouse.co.uk/location/holborn/,info@spaghettihouse.co.uk,info@spaghettihouse.co.uk; sa@spaghettihouse.co.uk,,,+44 20 7405 5215,"20, Sicilian Avenue, London, WC1A 2QD",https://it.linkedin.com/company/spaghetti-house,https://www.facebook.com/SpaghettiHouse,https://www.instagram.com/spaghetti_house,,,,,,general/London,https://www.openstreetmap.org/node/180403503,openstreetmap,normal_scraper,unknown,41,C,2026-08-25T19:43:31.181Z,2026-08-19T23:15:37.635+00:00,2026-08-19T23:15:37.635+00:00,hospitality-retail,hospitality-retail,,,,false,0.7,rules,europe
Woodward Estate Agents,estate_agent,https://www.woodward.co.uk/,info@woodward.co.uk,info@woodward.co.uk; u003einfo@woodward.co.uk,,,+44 20 8864 8844,"90, High Street, Harrow, HA1 3LP",https://uk.linkedin.com/company/woodward-estate-agents,https://www.facebook.com/WoodwardEstateAgentsHarrowOnTheHill,https://www.instagram.com/woodwardestateagents/,,,,,,general/London,https://www.openstreetmap.org/node/322270358,openstreetmap,normal_scraper,unknown,41,C,2026-08-25T19:43:31.181Z,2026-08-19T23:15:37.635+00:00,2026-08-19T23:15:37.635+00:00,real-estate,real-estate,,,,false,0.7,rules,europe
Alex Neil Estate Agents,estate_agent,https://www.alexneil.com/canary-wharf-and-docklands,sales@alexneil.com,sales@alexneil.com; canarywharf@alexneil.com,,,+44 20 7537 9859,"2, Westferry Road, London, E14 8JT",https://www.linkedin.com/company/alex-neil,https://www.facebook.com/AlexNeilEA,https://www.instagram.com/AlexneilEA/,,,,,,general/London,https://www.openstreetmap.org/node/356459052,openstreetmap,normal_scraper,unknown,41,C,2026-08-25T19:43:31.181Z,2026-08-19T23:15:37.635+00:00,2026-08-19T23:15:37.635+00:00,real-estate,real-estate,,,,false,0.7,rules,europe
Premier Inn London Victoria,hotel,https://www.premierinn.com/gb/en/hotels/england/greater-london/london/london-victoria.html,business@premierinn.com,business@premierinn.com; group.enquiries@whitbread.com; kontakt@whitbread.com,,,+44 870 423 6494,"82-83, Eccleston Square, London, SW1V 1PS",https://www.linkedin.com/company/premier-inn/mycompany/,https://www.facebook.com/premierinn,https://www.instagram.com/premierinn,,,,,,general/London,https://www.openstreetmap.org/node/603001046,openstreetmap,normal_scraper,unknown,41,C,2026-08-25T19:43:31.181Z,2026-08-19T23:15:37.635+00:00,2026-08-19T23:15:37.635+00:00,hospitality-retail,hospitality-retail,,,,false,0.7,rules,europe
Chicome,restaurant,https://chicome.co.uk/,jobs@staging.susannah.dentist,jobs@staging.susannah.dentist; reservations@chicome.co.uk,,,+44 20 3031 7601,"2, St. Katharine's Way, London, E1W 1AA",https://www.linkedin.com/company/chicome/,https://www.instagram.com/chicome_skd/,https://www.instagram.com/chicome_skd,,,,,,general/London,https://www.openstreetmap.org/node/662185232,openstreetmap,normal_scraper,unknown,41,C,2026-08-25T19:43:31.181Z,2026-08-19T23:15:37.635+00:00,2026-08-19T23:15:37.635+00:00,hospitality-retail,hospitality-retail,,,,false,0.7,rules,europe
