company_name,category,website,email,all_emails,contact_name,contact_title,phone,address,linkedin,facebook,instagram,rating,review_count,company_size,hourly_rate,min_project,search_query,profile_url,source,engine,email_verified,score,tier,scraped_at,first_seen_at,last_seen_at,industry,tags,sub_industries,employee_count,firm_size_band,is_enterprise,tag_confidence,tag_source,region,country,city
FACTS ERP Software House L.L.C,Software company,https://facts.ae/?utm_source=CMBlisting&utm_medium=organic,info@facts.ae,info@facts.ae; hi@facts.ae,Mr. Blesson John,"HR Manager, Ansar Mall",+971 55 899 3902,Mohd Malik & Sons Raffa Building - Office 201 - Khalid Bin Al Waleed Rd - Al Raffa - Dubai - United Arab Emirates,https://www.linkedin.com/company/facts-computer-software-house/,https://www.facebook.com/factsae,https://www.instagram.com/factserp/,4.6,104,50 - 249,$25 - $49 / hr,"$10,000+",software companies in Dubai,https://www.google.com/maps/place/FACTS+ERP+Software+House+L.L.C/data=!4m7!3m6!1s0x3e5f433e1f5f9b55:0x94a47bfdf9d201c6!8m2!3d25.2593792!4d55.2936515!16s%2Fg%2F1tj7zfs0!19sChIJVZtfHz5DXz4RxgHS-f17pJQ?authuser=0&hl=en&g_ep=EgoyMDI2MDgyMy4wIJJjKgBIAVAD&rclk=1,google_maps,normal_scraper,unknown,86,A,2026-08-26T10:13:04.437Z,2026-08-10T00:21:12.154+00:00,2026-08-25T07:39:13.888+00:00,erp-sap,erp-sap,,150,mid,false,0.7,rules,middle-east,uae,dubai
First Bit,Software company,https://firstbit.ae/,uae@firstbit.ae,uae@firstbit.ae,Murad Khan,Owner of The Toolkit Interior Decoration,+971 4 823 9612,Falcon House Building Office 104 - Dubai Investment Park First - Dubai - United Arab Emirates,https://www.linkedin.com/company/first-bit-dubai/,https://www.facebook.com/FirstBIT.UAE/,https://www.instagram.com/firstbit.uae/,4.7,223,,,,IT companies in Dubai,https://www.google.com/maps/place/First+Bit/data=!4m7!3m6!1s0x3e5f6b7981351211:0xa3ecc9c89fd223ac!8m2!3d25.0036401!4d55.1545452!16s%2Fg%2F12qggykw4!19sChIJERI1gXlrXz4RrCPSn8jJ7KM?authuser=0&hl=en&g_ep=EgoyMDI2MDgyMy4wIJJjKgBIAVAD&rclk=1,google_maps,normal_scraper,unknown,83,A,2026-08-26T10:14:03.230Z,2026-08-10T00:21:12.154+00:00,2026-08-25T07:39:13.888+00:00,professional-services,professional-services; data-analytics-bi; erp-sap; home-construction; finance-insurance,data-analytics-bi; erp-sap; home-construction; finance-insurance,,,false,0.55,web,middle-east,uae,dubai
10Pearls,Software company,http://www.10pearls.com/,info@10pearls.com,info@10pearls.com,,,+92 21 34328447,"1st Floor, NASTAP, Faisal Cantonment, Karachi, Pakistan",https://www.linkedin.com/in/emily-bergman-697b312a5/,https://www.facebook.com/10Pearls/,,4.7,258,,251 to 1000,Up to $25,software companies in Karachi,https://www.google.com/maps/place/10Pearls/data=!4m7!3m6!1s0x3eb33ea3ee195061:0x651f1a5f049d569c!8m2!3d24.8862093!4d67.1188772!16s%2Fg%2F11b66dqqp3!19sChIJYVAZ7qM-sz4RnFadBF8aH2U?authuser=0&hl=en&g_ep=EgoyMDI2MDgyMy4wIJJjKgBIAVAD&rclk=1,google_maps,normal_scraper,unknown,82,A,2026-08-26T11:18:05.525Z,2026-08-10T00:21:12.154+00:00,2026-08-25T07:39:13.888+00:00,ai-ml,ai-ml; cloud-devops; data-analytics-bi; cybersecurity; qa-testing; erp-sap; mobile-apps; ui-ux-design; education-training,cloud-devops; data-analytics-bi; cybersecurity; qa-testing; erp-sap; mobile-apps; ui-ux-design; education-training,,,false,0.55,web,south-asia,pakistan,karachi
tkxel,Software company,https://www.tkxel.com/,info@tkxel.com,info@tkxel.com,Reed Nyffeler,Founder of Signal,+92 42 38020001,"22/L, Main Ferozepur Road، Block L Gulberg III, Lahore, 54600, Pakistan",https://www.linkedin.com/company/tkxel/,,https://www.instagram.com/tkxelofficial/,4.5,467,251 to 1000,$26 - $50,$5001 - $10000,IT companies in Lahore,https://www.google.com/maps/place/tkxel/data=!4m7!3m6!1s0x3919044ecaaaa291:0xbeddaf40fa9b2a8d!8m2!3d31.4958019!4d74.3355443!16s%2Fg%2F11bwf81xwn!19sChIJkaKqyk4EGTkRjSqb-kCv3b4?authuser=0&hl=en&g_ep=EgoyMDI2MDgyMy4wIJJjKgBIAVAD&rclk=1,google_maps,normal_scraper,unknown,82,A,2026-08-26T11:23:29.289Z,2026-08-10T00:21:12.154+00:00,2026-08-25T07:39:13.888+00:00,,,,626,large,false,0,rules,south-asia,pakistan,lahore
Saigon Technology - AI-Driven Software Development Company in Vietnam,Software company,https://saigontechnology.com/?utm_source=google_business&utm_medium=organic&utm_campaign=ho_chi_minh,sales@saigontechnology.com,sales@saigontechnology.com; australia@saigontechnology.com; thanh.pham@saigontechnology.com,Thanh Pham,CEO,+84 767 496 612,"Orchard Park View, 130-132 Hồng Hà, Đức Nhuận, Hồ Chí Minh 700000, Vietnam",https://www.linkedin.com/company/saigon-technology,https://www.facebook.com/saigontechnology,,4.6,53,251 to 1000,$26 - $50,$10001 - $25000,software companies in Ho Chi Minh City,https://www.google.com/maps/place/Saigon+Technology+-+AI-Driven+Software+Development+Company+in+Vietnam/data=!4m7!3m6!1s0x3175294909dcaa3f:0x3ecba838def3c278!8m2!3d10.809461!4d106.672745!16s%2Fg%2F11f5bqz5y0!19sChIJP6rcCUkpdTEReMLz3jioyz4?authuser=0&hl=en&g_ep=EgoyMDI2MDgyMy4wIJJjKgBIAVAD&rclk=1,google_maps,normal_scraper,unknown,82,A,2026-08-26T12:05:42.932Z,2026-08-10T00:21:12.154+00:00,2026-08-25T07:39:13.888+00:00,ai-ml,ai-ml,,626,large,false,0.7,rules,southeast-asia,vietnam,ho-chi-minh
Tranetech Software Solution LLC,Software company,https://tranetech.com/,info@tranetech.com,info@tranetech.com; infodxb@tranetech.com,,,+971 2 443 3113,Al Masaood Tower - Office No.604 - Hamdan Bin Mohammed St - Abu Dhabi - United Arab Emirates,https://www.linkedin.com/company/tranetech-software-solutions,https://www.facebook.com/tranetechsoftwaresolutions,https://www.instagram.com/tranetech.com_/,4.5,106,25 - 50,N/A,"$1,900 - $2,000",software development companies in Abu Dhabi,https://www.google.com/maps/place/Tranetech+Software+Solution+LLC/data=!4m7!3m6!1s0x3e5e6759023b134f:0xbc7fda55937506da!8m2!3d24.4903009!4d54.3647796!16s%2Fg%2F11fmyjths4!19sChIJTxM7AllnXj4R2gZ1k1Xaf7w?authuser=0&hl=en&g_ep=EgoyMDI2MDgyMy4wIJJjKgBIAVAD&rclk=1,google_maps,normal_scraper,unknown,81,A,2026-08-26T10:23:39.050Z,2026-08-10T00:21:12.154+00:00,2026-08-25T07:39:13.888+00:00,digital-marketing,digital-marketing; erp-sap; real-estate; data-analytics-bi; web-development; mobile-apps; ui-ux-design; finance-insurance,erp-sap; real-estate; data-analytics-bi; web-development; mobile-apps; ui-ux-design; finance-insurance,38,mid,false,0.55,web,middle-east,uae,abu-dhabi
Infobytes Technologies,Computer support and services,https://info-bytes.com/,info@info-bytes.com,info@info-bytes.com,Ocean Babs,Head of IT,+971 4 349 1389,"Bldg, Sheikha Mhara Building - 171 Al Nahda St - Al Twar Fifth - Al Twar 5 - Dubai - United Arab Emirates",https://www.linkedin.com/company/infobytes-technologies,https://www.facebook.com/infobytesuae,https://www.instagram.com/infobytesuae,4.9,160,,,,IT companies in Dubai,https://www.google.com/maps/place/Infobytes+Technologies/data=!4m7!3m6!1s0x3e5f5dc68e013143:0x3e32a1438b3bdbd8!8m2!3d25.2658153!4d55.3827748!16s%2Fg%2F11sw14_4tk!19sChIJQzEBjsZdXz4R2Ns7i0OhMj4?authuser=0&hl=en&g_ep=EgoyMDI2MDgyMy4wIJJjKgBIAVAD&rclk=1,google_maps,normal_scraper,unknown,80,A,2026-08-26T10:14:03.230Z,2026-08-10T00:21:12.154+00:00,2026-08-25T07:39:13.888+00:00,ui-ux-design,ui-ux-design; web-development; cloud-devops,web-development; cloud-devops,,,false,0.5,web,middle-east,uae,dubai
Monroe Consulting Group - Recruitment Agency Malaysia,Executive search firm,https://www.monroeconsulting.com/recruitment/recruitment-malaysia,indonesia@monroeconsulting.com,indonesia@monroeconsulting.com; malaysia@monroeconsulting.com; philippines@monroeconsulting.com,Tina Nugraheni,Managing Director - Indonesia & Philippines,+60 3-2771 0310,"Q Sentral, Level 27 Unit 27, 10 2A, Jalan Stesen Sentral 2, Kuala Lumpur Sentral, 50470 Kuala Lumpur, Malaysia",https://www.linkedin.com/in/tina-nugraheni-61a32922/,https://www.facebook.com/MonroeConsulting/,https://www.instagram.com/monroeconsultinggroup/,4.9,499,,,,IT companies in Kuala Lumpur,https://www.google.com/maps/place/Monroe+Consulting+Group+-+Recruitment+Agency+Malaysia/data=!4m7!3m6!1s0x31cc498ee1679f2d:0xb6aabec7cf4695c0!8m2!3d3.1355713!4d101.6863978!16s%2Fg%2F11b6rsf6j1!19sChIJLZ9n4Y5JzDERwJVGz8e-qrY?authuser=0&hl=en&g_ep=EgoyMDI2MDgyMy4wIJJjKgBIAVAD&rclk=1,google_maps,normal_scraper,unknown,80,A,2026-08-26T11:58:34.904Z,,,professional-services,professional-services,,,,false,0.8999999999999999,rules,southeast-asia,malaysia,kuala-lumpur
Boundless Technologies - Web Design & Website Development - Digital Marketing - Graphic Design - Web Hosting,Website designer,https://www.boundlesstech.net/,career@boundlesstech.net,career@boundlesstech.net; info@boundlesstech.net; sales@boundlesstech.net,DR. Imran Yousuf,Founder & Chairman of,+92 345 3133668,"Office # 9, Ground Floor، opp. Expo Center, Block 13 D Gulshan-e-Iqbal, Karachi, 74600, Pakistan",https://www.linkedin.com/company/boundless-technologies,https://www.facebook.com/boundlesstech/,https://www.instagram.com/boundlesstech/,4.7,245,,,,digital marketing agencies in Karachi,https://www.google.com/maps/place/Boundless+Technologies+-+Web+Design+%26+Website+Development+-+Digital+Marketing+-+Graphic+Design+-+Web+Hosting/data=!4m7!3m6!1s0x3eb33f204972c735:0xf3e323962f3fdec1!8m2!3d24.9036027!4d67.0723134!16s%2Fg%2F1tkp3g4x!19sChIJNcdySSA_sz4Rwd4_L5Yj4_M?authuser=0&hl=en&g_ep=EgoyMDI2MDgyMy4wIJJjKgBIAVAD&rclk=1,google_maps,normal_scraper,unknown,80,A,2026-08-26T13:32:48.816Z,2026-08-25T07:39:13.888+00:00,2026-08-25T07:39:13.888+00:00,web-development,web-development; ui-ux-design; digital-marketing,ui-ux-design; digital-marketing,,,false,0.7999999999999999,rules,south-asia,pakistan,karachi
Missan Global,Computer support and services,https://www.missanglobal.com/,info@missanglobal.com,info@missanglobal.com; support@missan365.com,Abu Amir Mohammad Muzammil,Chief Executive Officer,+971 6 562 6006,"Belresheed Tower - Buheirah Corniche - 1, 1503 - Sharjah - United Arab Emirates",https://www.linkedin.com/company/missanitsolutions/,https://www.facebook.com/missanitsolution,https://www.instagram.com/missanitsolutions/,4.5,197,,,,IT companies in Sharjah,https://www.google.com/maps/place/Missan+Global/data=!4m7!3m6!1s0x3e5f5bc92a1af723:0xbb811e7da55a2738!8m2!3d25.3429356!4d55.3859978!16s%2Fg%2F11dxcr2vm3!19sChIJI_caKslbXz4ROCdapX0egbs?authuser=0&hl=en&g_ep=EgoyMDI2MDgyMy4wIJJjKgBIAVAD&rclk=1,google_maps,normal_scraper,unknown,79,A,2026-08-26T10:31:17.017Z,2026-08-10T00:21:12.154+00:00,2026-08-25T07:39:13.888+00:00,cybersecurity,cybersecurity; finance-insurance; data-analytics-bi; cloud-devops; healthcare; manufacturing-industrial; real-estate,finance-insurance; data-analytics-bi; cloud-devops; healthcare; manufacturing-industrial; real-estate,,,false,0.6,web,middle-east,uae,sharjah
