name,category,website,phone,address,maps_url,source,engine,search_query,scraped_at
My TeleMall,beauty professionals,http://www.mytelemall.com,03009533102,"Lahore, Pakistan, Lahore, Sindh",https://www.businesslist.pk/company/240207/my-telemall,businesslist_pk,scrapy,beauty-professionals,2026-08-18T16:16:10.436858+00:00
HairSense,beauty professionals,https://hairsense.pk/,+923302222786,"Gondal Plaza, Basement HBL, Markaz F-10, Islamabad, Islamabad",https://www.businesslist.pk/company/258852/hairsense,businesslist_pk,scrapy,beauty-professionals,2026-08-18T16:16:11.609028+00:00
Asad Enterprises,car rental,http://www.asadtransport.com,02135057788,"C-209, Sector 31-F, Dar-us-Salam Society, Main Korangi Road, Karachi , Karachi, Sindh",https://www.businesslist.pk/company/246189/asad-enterprises,businesslist_pk,scrapy,car-rental,2026-08-18T16:16:14.009122+00:00
AAF Marketing.co,estate agents,,+923041116223,"Office No: FL 40 Block B 1st &amp; 2nd Floor Gulshan-e-Jamal Opp to Neuplex Cinema - Jouhar, Karachi, Karachi",https://www.businesslist.pk/company/258546/aaf-marketingco,businesslist_pk,scrapy,estate-agents,2026-08-18T16:16:15.677638+00:00
My TeleMall,beauty professionals,http://www.mytelemall.com,03218518147,"Faisalabad, Pakistan, Faisalabad, Sindh",https://www.businesslist.pk/company/240434/my-telemall,businesslist_pk,scrapy,beauty-professionals,2026-08-18T16:16:16.879186+00:00
Anorectal Hospital,beauty professionals,http://www.anorectal.net/,03360158888,"61/R1 Johar town near Meezan Bank Shadiwal Chowk, Lahore, Punjab",https://www.businesslist.pk/company/248898/anorectal-hospital,businesslist_pk,scrapy,beauty-professionals,2026-08-18T16:16:18.698635+00:00
Sams Health Spa and Wellness Center,beauty professionals,http://www.sams.pk,0092-42-35714240/41 or 0092-42-35707427/28 or 03224107350,"40 B1 , gulberg 3, off M.M Alam road, Lahore, Pakistan, Lahore, Punjab",https://www.businesslist.pk/company/240898/sams-health-spa-and-wellness-center,businesslist_pk,scrapy,beauty-professionals,2026-08-18T16:16:20.349301+00:00
Nasim laser Skin Aesthetic,beauty professionals,https://nasimlasercenter.com/,03003332024,"house 4 h block Johar Town, Canal Road،, Block H Phase 2, Johar Town, Lahore, Punjab, Lahore, Punjab",https://www.businesslist.pk/company/252286/nasim-laser-skin-aesthetic,businesslist_pk,scrapy,beauty-professionals,2026-08-18T16:16:22.248988+00:00
Nasim laser Skin Aesthetic,beauty professionals,https://nasimlasercenter.com/,03003332024,"house 4 h block Johar Town, Canal Road،, Block H Phase 2, Johar Town, Lahore, Punjab, Lahore, Punjab",https://www.businesslist.pk/company/252035/nasim-laser-skin-aesthetic,businesslist_pk,scrapy,beauty-professionals,2026-08-18T16:16:24.466080+00:00
Zenith By Sameera,beauty professionals,,+9234 5762831,"Islamabad main road, Islamabad",https://www.businesslist.pk/company/258793/zenith-by-sameera,businesslist_pk,scrapy,beauty-professionals,2026-08-18T16:16:26.525004+00:00
MerryDerma,beauty professionals,https://merryderma.com.pk,+92-321-3910543,"G-11/3, Islamabad, Islamabad Capital Territory",https://www.businesslist.pk/company/252364/merryderma,businesslist_pk,scrapy,beauty-professionals,2026-08-18T16:16:28.594894+00:00
Eve Beauty Industries,beauty professionals,http://www.evebeautyind.com,+92 52 4293206,"Christian Town, Sialkot, Punjab",https://www.businesslist.pk/company/197616/eve-beauty-industries,businesslist_pk,scrapy,beauty-professionals,2026-08-18T16:16:30.527216+00:00
USA Beauty Care,beauty professionals,http://www.usabeautycare.com,92 523 254941,"24 B- small industrial estate, Sialkot, Punjab",https://www.businesslist.pk/company/243541/usa-beauty-care,businesslist_pk,scrapy,beauty-professionals,2026-08-18T16:16:32.654805+00:00
Arsa Enterprises,beauty professionals,http://WWW.ARSAENTERPRISES.COM,"3540082 , 3540058","SALEEM TOWN, PASRUR ROAD SIALKOT, Sialkot, Punjab",https://www.businesslist.pk/company/243364/arsa-enterprises,businesslist_pk,scrapy,beauty-professionals,2026-08-18T16:16:34.491572+00:00
"Glutathione Skin Whitening Pills,Cream in Karachi",beauty professionals,http://glutawhite.pk,03351632257,"Karachi, Karachi, Sindh",https://www.businesslist.pk/company/245210/glutathione-skin-whitening-pillscream-in-karachi,businesslist_pk,scrapy,beauty-professionals,2026-08-18T16:16:36.381202+00:00
Bodevolution,beauty professionals,http://www.bodevolution.com/,0311 1444032,"8, Block C, Lahore, Model Town, Pakistan، Lahore 54000, Lahore, Punjab",https://www.businesslist.pk/company/247322/bodevolution,businesslist_pk,scrapy,beauty-professionals,2026-08-18T16:16:38.579111+00:00
"Glutathione Skin Whitening Pills,Cream,Soap",beauty professionals,https://glutathioneteam.blogspot.com/,03364685381,"DHA, Lahore, Punjab",https://www.businesslist.pk/company/246911/glutathione-skin-whitening-pillscreamsoap,businesslist_pk,scrapy,beauty-professionals,2026-08-18T16:16:40.764412+00:00
Aseya Salon,beauty professionals,,+923321430811,"Shop No# 10, Bilal Centre, Chouburji Sham Nagar near Ahmed Burger, Lahore Pakistan, Lahore",https://www.businesslist.pk/company/258834/aseya-salon,businesslist_pk,scrapy,beauty-professionals,2026-08-18T16:16:42.682343+00:00
Karaki Massage Center,beauty professionals,https://www.karachimassagecenter.net,"+92 3042262244, +92 3332261246","DHA PHASE 2, Karachi, Sindh",https://www.businesslist.pk/company/252374/karaki-massage-center-karachi,businesslist_pk,scrapy,beauty-professionals,2026-08-18T16:16:44.181300+00:00
Canvas Salon &amp; Studio,beauty professionals,,+923286427572,"House 60, B1 MM Alam Rd, Block B 1 Gulberg III, Lahore",https://www.businesslist.pk/company/258901/canvas-salonstudio,businesslist_pk,scrapy,beauty-professionals,2026-08-18T16:16:46.313680+00:00
Herbarium International,beauty professionals,http://www.herbariumintl.com,(92 21) 36361160,"C-302, Block-6, F. B. Area,, Karachi, Sindh",https://www.businesslist.pk/company/182950/herbarium-international-pvt-ltd,businesslist_pk,scrapy,beauty-professionals,2026-08-18T16:16:48.082843+00:00
MartX,beauty professionals,,+923004314628,"PCSIR Phase 2, Lahore, Lahore, Punjab",https://www.businesslist.pk/company/247743/martx,businesslist_pk,scrapy,beauty-professionals,2026-08-18T16:16:49.379715+00:00
MyTelemall.pk,beauty professionals,http://www.mytelemall.pk/,+92554433,"House No 104, Street No 66, Sector I-10/1, Islamabad, Islamabad, Islamabad Capital Territory",https://www.businesslist.pk/company/241270/telemall,businesslist_pk,scrapy,beauty-professionals,2026-08-18T16:16:50.981737+00:00
Sams Soap Kitchen,beauty professionals,http://www.samssoapkitchen.pk,0092-42-35707427/28,"38 T , PHASE 2, COMMERCIAL AREA, DHA, LAHORE,PAKISTAN, Lahore, Punjab",https://www.businesslist.pk/company/240897/sams-soap-kitchen,businesslist_pk,scrapy,beauty-professionals,2026-08-18T16:16:52.994050+00:00
Estate Bank,estate agents,https://www.estatebnk.pk,+92 307 2224429,"Plot No. 59 C, 2nd Floor, Lane 3, Al-Murtaza Commercial, Phase 8, DHA Karachi, Karachi, Sindh",https://www.businesslist.pk/company/257808/estate-bank,businesslist_pk,scrapy,estate-agents,2026-08-18T16:16:55.084997+00:00
Citi Housing Sialkot House For Sale,estate agents,,+923154609659,"Citi Housing Sialkot, Sialkot",https://www.businesslist.pk/company/258427/citi-housing-sialkot-house-for-sale,businesslist_pk,scrapy,estate-agents,2026-08-18T16:16:56.417958+00:00
