name,category,website,phone,address,maps_url,source,engine,search_query,scraped_at
Aquila Clinic &amp; Fertility,doctors and clinics,,07057380555,"15a Yauri Street, Garki, Abuja, Abuja, Abuja",https://www.businesslist.com.ng/company/260826/aquila-clinicfertility,businesslist_ng,scrapy,doctors-and-clinics,2026-08-18T18:15:26.957899+00:00
Gotrack Ltd,doctors and clinics,http://www.gotrackfleet.com,"+234 706 258 3950, +234 806 431 1877, +234 803 847 1835","18, Bayo Oyewale Street, Ago Palace Way, Okota, Lagos, Lagos",https://www.businesslist.com.ng/company/261458/gotrack-ltd,businesslist_ng,scrapy,doctors-and-clinics,2026-08-18T18:15:29.025140+00:00
KABWORLD Physiotherapy &amp; Co,doctors and clinics,http://www.kabworldphysio.com,2347033309554,"Lagos Island, Mainland and Ikorodu axis , Lagos, Lagos",https://www.businesslist.com.ng/company/257294/kabworld-physiotherapyco-reg,businesslist_ng,scrapy,doctors-and-clinics,2026-08-18T18:15:30.022877+00:00
Dr Solution Cottage Hospital Ltd,doctors and clinics,https://www.drsolutionhospital.com,+234 803 956 5922,"HQ: Off #58 Mbodo-Aluu Road, Port Harcourt and 12 Rumuosi-Ozuoba Road, PH., Port Harcourt, Rivers",https://www.businesslist.com.ng/company/256985/dr-solution-cottage-hospital,businesslist_ng,scrapy,doctors-and-clinics,2026-08-18T18:15:31.910017+00:00
Joje Abebe Fertility Centre,doctors and clinics,https://jojefertility.com.ng,+234 817 104 9999,"Plot 0140, Bamanga Tukur Street, Opposite Beautiful Beginning Academy, Zone E Legislative Quarters, Gudu District, Apo , Abuja, Abuja",https://www.businesslist.com.ng/company/263926/joje-abebe-fertility-centre,businesslist_ng,scrapy,doctors-and-clinics,2026-08-18T18:15:33.508080+00:00
Rocaprosthetics Ortho Care Enterprises,doctors and clinics,,"08029073564, 07031548820","20 owulade Avenue Irawo bus stop Owode Ajegunle off ikorodu road, Lagos, Lagos",https://www.businesslist.com.ng/company/260933/rocaprosthetics-ortho-care-enterprises,businesslist_ng,scrapy,doctors-and-clinics,2026-08-18T18:15:35.682264+00:00
Edge Medical Center Ltd.,doctors and clinics,http://www.edgemedicalcenter.com,2349039494930,"Plot P14 Isiukwuato Street, PreFab Housing, Uratta West Owerri, Imo 460232, Owerri, Imo",https://www.businesslist.com.ng/company/255990/edge-medical-center-ltd,businesslist_ng,scrapy,doctors-and-clinics,2026-08-18T18:15:37.959869+00:00
Green Diagnostics Company Limited,doctors and clinics,https://gdcl.ng/,08025200314,"16c, Uwasota Road, Off Ugbowo-Lagos Rd, Benin City, Edo",https://www.businesslist.com.ng/company/256544/green-diagnostics-company-limited,businesslist_ng,scrapy,doctors-and-clinics,2026-08-18T18:15:39.791688+00:00
Jumay Eye Care Center,doctors and clinics,,07062221958,"Inside Ezem Hospital, 2 Osuji Street off Cherubim junction, Wetheral road, Owerri, Owerri, Imo",https://www.businesslist.com.ng/company/266210/jumay-eye-care-center,businesslist_ng,scrapy,doctors-and-clinics,2026-08-18T18:15:41.945562+00:00
Gloxygen Dental Care,doctors and clinics,https://gloxygen-dental-care.business.site,"07035918976 , 08132804107","Plot 148A , First Avenue , Sector F , FHA , Lugbe , Off Airport Road (Opp. Bread abd More , Bsd FHA Mortgage Bank ), Abuja, Abuja",https://www.businesslist.com.ng/company/263176/gloxygen-dental-care,businesslist_ng,scrapy,doctors-and-clinics,2026-08-18T18:15:43.043611+00:00
