name,category,website,phone,address,maps_url,source,engine,search_query,scraped_at
Ahmad Medix (Pvt) Limited,vehicle manufacturers,http://www.ahmadmedix.com,"+92-42-35213441 , +92-42-35213442","129/6 Quaid-e-Azam industrial Estate Township, Lahore, Punjab",https://www.businesslist.pk/company/248066/ahmad-medix-pvt-limited,businesslist_pk,scrapy,vehicle-manufacturers,2026-08-21T19:25:38.967050+00:00
Lahore Hazara Goods,vehicle manufacturers,https://lahorehazaragoods.weebly.com/,+92423772531,"PLOT NO,8/A RAVI LINK ROAD LAHORE, Lahore, Punjab",https://www.businesslist.pk/company/246438/lahore-hazara-goods,businesslist_pk,scrapy,vehicle-manufacturers,2026-08-21T19:25:41.043768+00:00
Ar Raheem Enterprises (PVT) Ltd,car rental,https://ar-raheem-motors.com,03339737840,"Ar Raheem Motors, Oppo UBL Bank, Committee Chowk Rawalpindi, Dhoke Elahi Baksh, Rawalpindi, Punjab 46000, Islamabad, Punjab",https://www.businesslist.pk/company/249923/ar-raheem-enterprises-pvt-ltd,businesslist_pk,scrapy,car-rental,2026-08-21T19:25:44.696322+00:00
Asad Rent A Car,car rental,https://asad-rent-a-car.business.site/,03247147000,"LG-18 , Divine Center , opp Honda Point , Airport Road , Cantt Lahore, Lahore, Punjab",https://www.businesslist.pk/company/247814/asad-rent-a-car,businesslist_pk,scrapy,car-rental,2026-08-21T19:25:46.525507+00:00
Car Syndicate,car rental,,+92 328 2288955,"karachi, Karachi",https://www.businesslist.pk/company/258824/car-syndicate,businesslist_pk,scrapy,car-rental,2026-08-21T19:25:48.712758+00:00
Rehman Rent A car,car rental,http://www.rehmanrentacar.com,0092-321-5440807,"E-251/1, Street no. 5, Main Bazar, Qasimpura, Cantt Lahore, Lahore, Punjab",https://www.businesslist.pk/company/243004/rehman-rent-a-car,businesslist_pk,scrapy,car-rental,2026-08-21T19:25:50.857293+00:00
Grab car,car rental,http://www.grabcarpk.com,03455309915,"office3 palaza 63 wallyat complex bahria town phase 7, Rawalpindi, Islamabad Capital Territory",https://www.businesslist.pk/company/251297/grab-car,businesslist_pk,scrapy,car-rental,2026-08-21T19:25:54.731815+00:00
Rafay Car Rental,car rental,http://www.rafaycarrentallahore.com/,0320-8189123,"Office 99, Zainab Tower, Model Town, Link Road, Lahore, Lahore, Punjab",https://www.businesslist.pk/company/246319/rafay-car-rental,businesslist_pk,scrapy,car-rental,2026-08-21T19:25:56.919085+00:00
Fast Track Tours &amp; Rentals,car rental,http://rentacarlahore.net,0300 8499507,"294-Q، Phase 2 DHA Phase 2, Lahore, Punjab 54000, Lahore, Punjab",https://www.businesslist.pk/company/249245/fast-track-toursrentals,businesslist_pk,scrapy,car-rental,2026-08-21T19:25:58.752266+00:00
Tour In Pakistan,car rental,http://www.tourinpakistan.com.pk/,+92 321 9430099,"office No: 12, 1st floor, Haqnawaz Plaza, G-11 markaz., Islamabad 45000, Pakistan, Islamabad, Islamabad Capital Territory",https://www.businesslist.pk/company/245537/tour-in-pakistan,businesslist_pk,scrapy,car-rental,2026-08-21T19:26:00.956623+00:00
